# time,smoothGCAMP,smoothISOS,smoothdFF
1.489836411803271687e+02,6.836228179931640625e+01,7.053831100463867188e+01,-1.338016688629162232e+00
1.499833928403321295e+02,6.899711227416992188e+01,7.038233566284179688e+01,-3.382487279401461544e-01
1.509831445003371186e+02,6.903908920288085938e+01,7.019751358032226562e+01,-1.783522904444081458e-01
1.519828961603420794e+02,6.896284103393554688e+01,7.010752105712890625e+01,-2.402463828806125912e-01
1.529826478203470401e+02,6.892533493041992188e+01,7.013977050781250000e+01,-3.118245511368858969e-01
1.539823994803520009e+02,6.898696517944335938e+01,7.008725738525390625e+01,-1.944515614418044769e-01
1.549821511403569900e+02,6.911258697509765625e+01,7.007724761962890625e+01,-7.316893022431375862e-03
1.559819028003619508e+02,6.909822082519531250e+01,7.009693908691406250e+01,-3.870998858711668239e-02
1.569816544603669115e+02,6.881641006469726562e+01,6.998678970336914062e+01,-3.872673540976980799e-01
1.579814061203718722e+02,6.864625167846679688e+01,6.994352722167968750e+01,-6.103900128050810947e-01
1.589811577803768330e+02,6.860288619995117188e+01,6.999876785278320312e+01,-7.027592173936495490e-01
1.599809094403818222e+02,6.834832000732421875e+01,6.988964843750000000e+01,-1.012987994201505648e+00
1.609806611003867829e+02,6.845874023437500000e+01,6.975384140014648438e+01,-7.803778525340543393e-01
1.619804127603917436e+02,6.899497222900390625e+01,6.972528457641601562e+01,1.222035131015896357e-02
1.629801644203967044e+02,6.905802536010742188e+01,6.973819351196289062e+01,9.664268119629937370e-02
1.639799160804016651e+02,6.872547912597656250e+01,6.977091217041015625e+01,-4.029626562479509122e-01
1.649796677404066543e+02,6.879320144653320312e+01,6.971497726440429688e+01,-2.747080300258479268e-01
1.659794194004116150e+02,6.856456375122070312e+01,6.975589752197265625e+01,-6.281072148086226381e-01
1.669791710604165758e+02,6.835959243774414062e+01,6.972936630249023438e+01,-9.109833959302116035e-01
1.679789227204215365e+02,6.869359588623046875e+01,6.961209106445312500e+01,-3.637462512320668306e-01
1.689786743804265257e+02,6.871835327148437500e+01,6.961694335937500000e+01,-3.304499458829421310e-01
1.699784260404314864e+02,6.857960891723632812e+01,6.964812088012695312e+01,-5.484372765429990082e-01
1.709781777004364471e+02,6.860471725463867188e+01,6.964781951904296875e+01,-5.118641595946633593e-01
1.719779293604414079e+02,6.862316894531250000e+01,6.956628036499023438e+01,-4.412554699144767278e-01
1.729776810204463686e+02,6.844543457031250000e+01,6.965887832641601562e+01,-7.487791907791239154e-01
1.739774326804513578e+02,6.826749801635742188e+01,6.977598571777343750e+01,-1.069378838958654043e+00
1.749771843404563185e+02,6.833176422119140625e+01,6.970623397827148438e+01,-9.389484980943813008e-01
1.759769360004612793e+02,6.838136672973632812e+01,6.971062469482421875e+01,-8.693897582517933209e-01
1.769766876604662400e+02,6.829075622558593750e+01,6.960095596313476562e+01,-9.420835139263687985e-01
1.779764393204712007e+02,6.809480285644531250e+01,6.956990814208984375e+01,-1.209747689445356711e+00
1.789761909804761899e+02,6.753349304199218750e+01,6.970534133911132812e+01,-2.095736061571508824e+00
1.799759426404811506e+02,6.716339492797851562e+01,6.975679779052734375e+01,-2.659320244941581812e+00
1.809756943004861114e+02,6.752204513549804688e+01,6.972142410278320312e+01,-2.120832802571623876e+00
1.819754459604910721e+02,6.801374053955078125e+01,6.962854385375976562e+01,-1.358607014316755235e+00
1.829751976204960613e+02,6.810056686401367188e+01,6.952451705932617188e+01,-1.177144904654184421e+00
1.839749492805010220e+02,6.809944915771484375e+01,6.918745803833007812e+01,-9.983951158289371408e-01
1.849747009405059828e+02,6.802636718750000000e+01,6.913560104370117188e+01,-1.076861154000026799e+00
1.859744526005109435e+02,6.776931381225585938e+01,6.938018035888671875e+01,-1.581051642185265615e+00
1.869742042605159043e+02,6.770361328125000000e+01,6.925171661376953125e+01,-1.608090878012564229e+00
1.879739559205208934e+02,6.751261901855468750e+01,6.922510910034179688e+01,-1.871524047029266002e+00
1.889737075805258542e+02,6.727238845825195312e+01,6.958275604248046875e+01,-2.409661792812347159e+00
1.899734592405308149e+02,6.741453552246093750e+01,6.963873672485351562e+01,-2.233026935571178484e+00
1.909732109005357756e+02,6.727080917358398438e+01,6.949457550048828125e+01,-2.365430651337022461e+00
1.919729625605407364e+02,6.694613265991210938e+01,6.954018783569335938e+01,-2.860608584086915318e+00
1.929727142205457255e+02,6.728382110595703125e+01,6.946308517456054688e+01,-2.329917985506873901e+00
1.939724658805506863e+02,6.758620452880859375e+01,6.941955566406250000e+01,-1.867877013157953847e+00
1.949722175405556470e+02,6.665745162963867188e+01,6.950250625610351562e+01,-3.259784720342043585e+00
1.959719692005606078e+02,6.623250198364257812e+01,6.960130310058593750e+01,-3.927827026650432263e+00
1.969717208605655969e+02,6.651630401611328125e+01,6.964339065551757812e+01,-3.538099516051453897e+00
1.979714725205705577e+02,6.636265563964843750e+01,6.969382095336914062e+01,-3.787130229915744106e+00
1.989712241805755184e+02,6.640508651733398438e+01,6.984244918823242188e+01,-3.802826085475125684e+00
1.999709758405804791e+02,6.645837020874023438e+01,6.985507965087890625e+01,-3.732198184216155568e+00
2.009707275005854399e+02,6.664571380615234375e+01,6.982713699340820312e+01,-3.446265611132885986e+00
2.019704791605904290e+02,6.730298614501953125e+01,6.978945159912109375e+01,-2.474201181493574708e+00
2.029702308205953898e+02,6.800660705566406250e+01,6.962470626831054688e+01,-1.366907989405783841e+00
2.039699824806003505e+02,6.810164642333984375e+01,6.952545547485351562e+01,-1.176079599191456326e+00
2.049697341406053113e+02,6.744462203979492188e+01,6.942625427246093750e+01,-2.076996017869185529e+00
2.059694858006102720e+02,6.733969879150390625e+01,6.942253875732421875e+01,-2.227369666966105388e+00
2.069692374606152612e+02,6.768175125122070312e+01,6.942018508911132812e+01,-1.729482007516511599e+00
2.079689891206202219e+02,6.723417282104492188e+01,6.934741210937500000e+01,-2.340906626094366505e+00
2.089687407806251827e+02,6.676473617553710938e+01,6.923778915405273438e+01,-2.965220901823133470e+00
